strateji,tohum,gun,masa,asci,salon,plan,servis,kizgin,kisi,ciro,memnuniyet,itibar,kasa
pasif,20260910,1,4,1,0,6,5,1,11,54350,8906,3189,836827
pasif,20260910,2,4,1,0,8,8,0,13,65620,8900,3530,881479
pasif,20260910,3,4,1,0,7,4,3,11,77170,9565,3795,935631
pasif,20260910,4,4,1,0,8,8,0,14,61925,8328,4037,978025
pasif,20260910,5,4,1,0,7,6,1,13,60600,7756,4135,1018766
pasif,20260910,6,4,1,0,11,8,3,13,85000,7997,4200,1076609
pasif,20260910,7,4,1,0,10,9,1,15,79150,7592,4382,837427
pasif,20260910,8,4,1,0,8,5,3,12,64440,8091,4497,881236
pasif,20260910,9,4,1,0,6,4,2,11,55800,9546,4690,918973
pasif,20260910,10,4,1,0,8,8,0,16,108800,8094,4976,992926
pasif,20260910,11,4,1,0,10,9,1,15,69250,7453,5025,1039761
pasif,20260910,12,4,1,0,10,7,3,9,51050,7906,4696,1074294
pasif,20260910,13,4,1,0,9,9,0,19,90060,7565,4898,1135904
pasif,20260910,14,4,1,0,10,9,1,18,92370,4269,4401,903623
pasif,20260910,15,4,1,0,7,7,0,15,72750,6892,4507,952979
pasif,20260910,16,4,1,0,6,5,1,12,70750,8619,4556,1000939
pasif,20260910,17,4,1,0,9,7,2,12,71685,8408,4652,1049796
pasif,20260910,18,4,1,0,8,8,0,15,107400,7987,4915,1122126
pasif,20260910,19,4,1,0,6,5,1,15,87890,7914,5174,1183185
pasif,20260910,20,4,1,0,11,8,3,17,108550,7201,5260,1256721
pasif,20260910,21,4,1,0,8,7,1,17,90040,7041,4306,1021726
pasif,20260910,22,4,1,0,7,5,2,10,69375,5312,3764,1069845
pasif,20260910,23,4,1,0,7,5,2,12,68450,9405,3984,1116247
pasif,20260910,24,4,1,0,8,7,1,12,53000,7569,3922,1152116
pasif,20260910,25,4,1,0,6,5,1,13,63030,8497,4125,1195521
pasif,20260910,26,4,1,0,10,9,1,14,81950,4206,3665,1251014
pasif,20260910,27,4,1,0,11,8,3,13,92300,8019,3681,1313166
pasif,20260910,28,4,1,0,7,7,0,17,93100,5980,3697,1076674
pasif,20260910,29,4,1,0,6,5,1,12,83350,8694,3846,1133139
pasif,20260910,30,4,1,0,8,5,3,9,43800,5784,3331,1162913
pasif,20260910,31,4,1,0,8,8,0,13,104300,8150,3486,1234147
pasif,20260910,32,4,1,0,9,8,1,11,78150,8008,3329,1286935
pasif,20260910,33,4,1,0,6,6,0,13,62600,8355,3665,1329307
pasif,20260910,34,4,1,0,7,7,0,17,110160,8958,4011,1403831
pasif,20260910,35,4,1,0,13,10,3,14,76450,6980,3912,1153644
pasif,20260910,36,4,1,0,9,8,1,13,81765,7687,4012,1210160
pasif,20260910,37,4,1,0,6,6,0,14,100330,8305,4204,1278860
pasif,20260910,38,4,1,0,8,7,1,13,84680,8805,4741,1336350
pasif,20260910,39,4,1,0,9,9,0,16,118500,9487,5263,1416190
